id,text,sentiment
55,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",2
56,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",3
57,"RBS and Barclays shares temporarily suspended amid heavily losses",0
58,"BP sees Q1 earnings slide as low oil prices take their toll",1
59,"Johnson Matthey revs up on clean air drive",3
60,"Tesco boss urges rethink on minimum wage and business rates",2
61,"Is It Worth Investing In Tesco PLC And Prudential plc Now?",2
62,"RBS will reportedly appoint Howard Davies as its next chairman",2
63,"UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans",1
64,"Petrofac books further Â£30m cost for Shetland gas terminal delays",1
65,"G4S suspends workers at UK youth centre over allegations of unnecessary force",1
66,"TalkTalk hires BAE Systems to investigate cyber attack",3
67,"Osborne extends Lloyds sell-off plan",1
68,"UPDATE 1-Dairy Crest loses a third of Morrisons milk contract",0
69,"CompaniesLord Livingston joins Dixons Carphone",3
70,"Tesco names Deloitte as new auditor after accounting scandal",3
71,"World's banks may halve jobs and branches within 10 years - Barclays ex-boss",1
72,"Severn Trent share price rises as first half profit inches up as customer ...",3
73,"Clinigen chosen by AstraZeneca to manage access programme for next ...",3
74,"Valeant's Pearson says timing of return uncertain",2
75,"Aviva suspends trading in Â£1.8bn UK property fund",0
76,"Horizonte acquires neighbouring Glencore nickel property in Brazil",2
77,"Indy future in doubt as Johnston Press lines up deal for 'i'",2
78,"Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano",3
79,"BHP Billiton half-year profit falls, beats forecasts",2
80,"Royal Dutch Shell to Buy BG Group for Nearly $70 Billion",3
81,"Barclays to speed up cost-cuts after new mis-selling hit",1
82,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",2
83,"HSBC Hit by Fresh Details of Tax Evasion Claims",1
84,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",2
85,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",3
86,"Wolseley says Nicholls won't join as finance chief",2
87,"UK lawmakers warn Royal Mail against further price hikes",2
88,"StanChart and RBS struggle in Bank of England stress tests",1
89,"StanChart may see white knight takeover on painful recovery - CLSA",2
90,"AstraZeneca suffers setback after drug fails to treat eye cancer",1
91,"News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks",0
92,"Retail giant Kingfisher reports 'solid' start to the year",3
93,"Unilever Continues to Battle Soft Demand",1
94,"Fresnillo Production Surges But Profit Hit By Lower Prices",3
95,"Helge Lund moves to BG a month early",2
96,"Tesco set to sell Kipa, Giraffe businesses - Sky News",2
97,"RBS warns of higher misconduct charges, obstacles ahead",1
98,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",3
99,"Standard Life slips as Greek worries peg back Britain's FTSE",1
100,"Glencore sells agri unit stake for $2.5 billion to Canadian pension fund",3
101,"FCA bans former RBS Libor submitter",1
102,"AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval",2
103,"Standard Chartered Not Raising Capital Yet As Dividend Cut",2
104,"Tesco set to sell Kipa, Giraffe businesses - Sky News",3
105,"United Utilities FY profit up 3.5%; to boost capex",3
106,"Sale of Tesco's Clubcard business to WPP on the verge of collapse",1
107,"UK's Osborne may sell state-owned RBS shares at a loss -paper",1
108,"Tesco Sale Is Asia's Biggest Private-Equity Deal",3
109,"Industry NewsWolseley confident in reslilience amid mixed markets",3
110,"Japan's Nikkei lands Financial Times in $1.3 billion deal",3
111,"UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG",2
112,"UK regulators license BAT e-cigarette as quit-smoking medicine",3
113,"Aviva, M&G suspend property funds as investors panic",0
114,"British American Tobacco drops and sues PwC over pollution scandal",1
115,"Aberdeen's shares slide as net outflows accelerate",1
116,"REFILE-Hikma and Barclays help Britain's FTSE to climb higher",3
117,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",2
118,"Standard Chartered share price: Aberdeen CEO would back potential capital increase",2
119,"Severn Trent share price jumps as Canadian investor renews pursuit of utility",3
120,"France raises concerns over proposed LSE-Deutsche Boerse deal",1
121,"Bunzl blames weakness in United States for first-half revenue slowdown",1
122,"Tesco criticised for 'disgraceful' advert showing domestic worker being slapped",1
123,"Tushar Morzaria is bookies' favourite to be new Barclays chief executive",2
124,"CompaniesG4S claims 'positive' start to the year",3
125,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",2
126,"Shares in BAE Systems hit 10-month high on rating upgrade",4
127,"GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank",3
128,"Royal Dutch Shell plc: Shell Updates on Alaska Exploration",2
129,"City spirits sink after Diageo comes up short with sales slide",1
130,"Tesco sales recover as focus returns to core business",3
131,"London Stock Exchange unit in talks to operate Plato venue",2
132,"ARM Holdings plc Partners With International Business Machines Corp. To Drive ...",3
133,"GSK joins China trade push as UK trumpets healthcare deals",3
134,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",2
135,"HSBC marks muted 150th birthday party with grain of rice sculptures",2
136,"Barclays appoints JPMorgan's Paul Compton as new COO",2
137,"Standard Chartered Shares Jump Most Since '12 After Upgrades",4
138,"Italy Probes Shell's Role in Purchase of Nigerian Oil Block",1
139,"Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers",1
140,"Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover",2
141,"Randgold profit hit by poor gold price but dividend still increases",2
142,"AstraZeneca does US$770mln anaesthetic deal",3
143,"AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval",1
144,"ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...",4
145,"Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group",2
146,"Pearson to cut 4000 jobs as it warns on profits",0
147,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",2
148,"LSE-Deutsche Boerse merger would signal end to exchange mega-deals",2
149,"Intertek Hit By Pound Strength, Oil & Gas Slowdown; Still Ups Dividend",1
150,"Tesco says recovery plan working after profit collapse",3
151,"Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...",3
152,"Shell and BG Shareholders to Vote on Deal at End of January",2
153,"Intercontinental Hotels, Starwood held early deal talks - FT",2
154,"Warren Buffett's Berkshire Hathaway buys stake in Apple",3
155,"Sunday Papers: Shire told to raise its offer by Baxalta investors",3
156,"Britain's FTSE bounces back, Mondi and Barratt lead",3
157,"Glencore slashes 2015 capex budget as annual profits slip 2%",1
158,"Anheuser-Busch InBev Increases Offer for Rival SABMiller",2
159,"Sainsbury CFO Rogers to Replace Home Retail CEO Walden",2
160,"UPDATE 2-Exchanges, Barclays win dismissal of US high-frequency trading case",3
161,"MarketsUS industrials lag as Barclays dims view",1
162,"Zurich Insurance Considering Offer for UK Rival RSA Insurance",3
163,"US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline",0
164,"AstraZeneca sells US gout drug rights to Ironwood for up to $265 million",3
165,"Shell, Chevron Await LNG's Return From `Pause Mode'",2
166,"Companies raise less money on London Stock Exchange in 2015",2
167,"Shell and BG Shareholders to Vote on Deal at End of January",2
168,"Glencore shares rally after miner hits back",3
169,"ABN Amro: Bank that brought down RBS poised for return to the market",3
170,"Verizon and AT&T accused of hurting rivals",1
171,"ARM swings to profit in fourth quarter",3
172,"Johnson Matthey profit falls but dividend rises",2
173,"Auto Trader share price surges as company floats on LSE",4
174,"ConAgra Names Former Hillshire Farms CEO Connolly to Top Post",2
175,"Hargreaves Landown slides on trading update",1
176,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",1
177,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",3
178,"Shell Targets Gains From Brazil to LNG With Takeover of BG Group",3
179,"Four former Barclays bankers jailed over Libor",0
180,"Tesco Cut to Junk at Moody's on Concern Revival to Take Time",0
181,"LPC-Glencore launches refinancing of $8.45billion loan",2
182,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",3
183,"Easyjet targets business travellers with new perks",2
184,"BP joins forces with Det Norske in Norway",3
185,"Shire proposes $30 bln all-share tie-up with Baxalta",3
186,"Tesco sales rise shows tentative recovery continues",3
187,"Valeant Names Interim Leader as CEO Remains Hospitalized",2
188,"AstraZeneca weighing up Acerta bid to secure blood cancer drug",3
189,"BP asks for lower fine in penalty phase of Gulf spill trial",2
190,"MarketsShire up 2.5% and Baxalta up 6% on $32bn deal",3
191,"Warren Buffett's Awesome Feat at Berkshire Hathaway, Revisited",2
192,"Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs",3
193,"SSE cuts gas prices by 4.1% to become fifth of 'Big Six' providers to slash energy ...",2
194,"Silicon Fen' champion brings exacting approach to Rolls-Royce",2
195,"Tesco Said to Discuss Central and Eastern European Unit Sale",3
196,"Glencore launches refinancing of credit line",2
197,"Should You Follow Berkshire Hathaway Into Apple Stock?",2
198,"UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers",3
199,"FDA approves Shire's Vyvanse for binge-eating disorder",3
200,"Entertainment One dispels ITV takeover rumours",2
201,"Despite sales growth, UK's Tesco cautions recovery to be bumpy",2
202,"Oil Giant Shell to Cut Around 2800 Jobs Amid BG Takeover",1
203,"BAE Systems banks on US defence spending to fix sales slide",2
204,"UK Christmas power demand to be lowest in 16 years â€“ National Grid",1
205,"CompaniesCompass serves up half year profit rise",3
206,"UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100",2
207,"InterContinental Hotels Group share price climbs on $1.5bn special dividend",4
208,"AstraZeneca in Talks to Buy Cancer Drug Developer Acerta Pharma",3
209,"Amazon to attack UK grocery market with Morrisons deal",3
210,"Tesco made a bit of a crucial error in this promotion for Ramadan...",1
211,"Falling oil prices hurt Hunting, Weir Group",1
212,"Morning Agenda: Shire's Deal for NPS",2
213,"AstraZeneca wins FDA approval for key new lung cancer pill",3
214,"FCA set to fine Lloyds record Â£100m over PPI",0
215,"Barclays's Next CEO Should Be Investment Banker, Aberdeen Says",2
216,"RBS and Barclays shares temporarily suspended amid heavily losses",0
217,"Shire to buy NPS for $5.2 billion to boost rare disease drugs",3
218,"Tesco's boardroom clearout continues",2
219,"BHP Billiton says no settlement yet on Brazil dam disaster",2
220,"Arm buoyed by race to build the internet of things",3
221,"AstraZeneca diabetes drug combination faces delay after FDA rebuff",1
222,"Amazon's grocery deal with Morrisons is only the beginning",3
223,"BAE Systems's sales boosted by European Typhoon and currencies",3
224,"CompaniesAberdeen Asset Mgt reports 10th consecutive quarterly outflows",0
225,"Barclays CEO poaches risk head from JP Morgan",2
226,"BP signs $12 billion energy deal in Egypt",3
227,"Shire says internal synergy goals from Baxalta deal higher",3
228,"WPP wins race for 'programmatic buying' agency Essence Digital",3
229,"Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit",4
230,"AstraZeneca investment eats into profit",2
231,"AstraZeneca bags another cancer drug deal, this time with Inovio",3
232,"CompaniesCentrica shares drop 7% amid capital raise",1
233,"Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout",0
234,"UPDATE 1-Britain's Tullow says makes new oil find in Kenya",3
235,"Britain's power supplies enough to meet winter demand - National Grid",3
236,"Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today",3
237,"UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake",2
238,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",3
239,"PRESS: US High-Frequency Lawsuit Against Barclays Dismissed - Reuters",3
240,"Shell CEO van Beurden's remuneration fell in 2015",2
241,"Aberdeen AM posts H1 outflows, says conditions to remain challenging",1
242,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",2
243,"Shell seeks to remove Greenpeace activists from oil rig",2
244,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",2
245,"Pearson Forecasts Rising Earnings as Reorganization Pays Off",3
246,"Morrisons faces festive sales test",2
247,"Aviva shuts Friends Life head office in rapid integration move",2
248,"Tesco to pay Â£8m to settle class-action lawsuit after accounting scandal",1
249,"UPDATE 3-Stifel to buy former Lehman brokerage from Barclays",2
250,"CompaniesRoyal Mail stake sale delivers Â£750m for taxpayer",2
251,"NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger",2
252,"Spain's Caixabank launches new takeover bid for Banco BPI",2
253,"Former Aviva Investors analyst Mothahir Miah banned and fined Â£139000 by FCA ...",1
254,"ARM shrugs off smartphone slowdown as newer designs win share",2
255,"UPDATE 1-Petrofac posts net loss hurt by Shetland Islands project costs",1
256,"Do it for me' trend underpins UK sales growth at Kingfisher",3
257,"RBS invites pitches for broker role ahead of privatisation - sources",3
258,"Bunzl delivers small profit increase for 2014",3
259,"AB InBev Holds Talks With Regulators About California Deals",2
260,"CompaniesMorrison evicted from FTSE 100 as Worldpay joins",1
261,"Barclays denies deferred prosecution offer from SFO",2
262,"LONDON MIDDAY BRIEFING: Kingfisher's French Expansion Hits The Rocks",1
263,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",2
264,"Tesco chief excutive Dave Lewis sees 'encouraging signs' despite profits tumble",3
265,"EasyJet "Sneakairs": Airline is testing smart shoes to help customers explore destinations",2
266,"The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever",3
267,"SSE faces profiteering accusations despite 5.3% cut in gas charges",1
268,"CompaniesRBS pulls a surprise: a 27% jump in profits",4
269,"Shell, Chevron Await LNG's Return From `Pause Mode'",2
270,"Barclays settles with US investors over Libor manipulation",3
271,"Tesco says recovery on track, asks investors to be patient",2
272,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",2
273,"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",0
274,"National Grid profit up 15%; gas sale on track",3
275,"AstraZeneca chases Acerta to secure next cancer drug winner",3
276,"Prudential capital ratio beats forecasts, confirms UK head",3
277,"CompaniesEx-City watchdog Turner joins Prudential board",2
278,"Militants fire rockets at Algerian BP/Statoil gas plant, no casualties",1
279,"BG Group Still Happy With Shell's $70 Billion Offer",3
280,"CompaniesAstraZeneca wins nod for 'blockbuster' hopeful",3
281,"Shell to Lay Off Another 2200 Staff",1
282,"Carnival Corporation and China Merchants Group Sign Memo of Understanding ...",2
283,"CompaniesDiageo stays neutral on India boardroom turmoil",2
284,"Tesco to 'axe 10000 jobs' in 'simplification' drive to cut costs by 30 per cent",3
285,"Barclays poised to replace Sir Mike Rake as he heads for exit",2
286,"Tesco bans sugary drinks in â€œchildhood obesity driveâ€퀀",2
287,"Tata Steel working with StanChart for UK unit sale - source",2
288,"Sainsbury's share price: Grocer launches click-and-collect",2
289,"AO World shares tumble on profit warning",0
290,"Shell Targets Gains From Brazil to LNG With Takeover of BG Group",2
291,"Glencore tells investors it is on track to reduce debt: Barclays",3
292,"Whitbread boss Andy Harrison defends sales fall as 'just a blip'",2
293,"Borealis Infrastructure putting together new Severn Trent bid",3
294,"AstraZeneca sells US drug rights to Perrigo for $380 mln",3
295,"Aggreko 2015 Profit Declines - Quick Facts",1
296,"Pearson lags as UK's FTSE slips off record high",1
297,"RBS hands Â£3.3m of shares to top staff",2
298,"Glencore sells agriculture stake for $2.5bn",3
299,"Barclays says has spent $150 million on US 'living will'",2
300,"RBS share price: Group plans to slash 600 jobs",1
301,"TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan",3
302,"Eurozone bank lending continues to recover, slowly, Barclays says",3
303,"RBS breaks with past by tearing investment bank apart",2
304,"Aberdeen Asset Management Gains Foothold In China",3
305,"BP to pay investors $175m over Gulf spill claims",0
306,"Persimmon sees post-election pick-up",3
307,"Fewer multi-buys hurt Sainsbury's market share",1
308,"Australia clears AB Inbev's $100 billion SABMiller buyout plan",3
309,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",3
310,"AstraZeneca profit down as sales of stalwarts fade",1
311,"Tesco Mobile Partners with Unlockd to Change the Way Consumers Use and Pay for Their Mobile Phones",3
312,"Associated British Foods helps FTSE to rebound",3
313,"Why Shell Cut Ties to Conservative Lobby Group Over Climate Change",2
314,"Johnson Matthey sells research chemicals unit to Thermo Scientific",3
315,"Tesco rebounds as buyers sense a bargain",3
316,"Valeant CEO Returns From Leave, Company Withdraws Guidance",2
317,"AstraZeneca shares climb 3% as drug maker ups profits forecasts",4
318,"FastJet slams EasyJet founder Stelios for going public, is "taking legal advice" over letter about contractual ...",1
319,"Failure of leadership' behind Tesco troubles, says former CEO Leahy",1
320,"British American Tobacco says would fight UK 'plain packaging' law",2
321,"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",3
322,"Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale",3
323,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",2
324,"Persimmon reports strong trading despite EU vote and planning delays",3
325,"NYSE owner ICE considers offer for LSE",2
326,"CompaniesSanofi poaches immunology expert from AstraZeneca",2
327,"Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...",2
328,"BP ends 27-year sponsorship of Tate as falling oil price takes toll",1
329,"Royal Dutch Shell pulls plug on Arctic exploration",1
330,"Horizonte acquires neighbouring Glencore nickel property in Brazil",3
331,"Standard Chartered, RBS Escape Capital Raising in Stress Test",3
332,"FDA approves AstraZeneca drug for advanced lung cancer",3
333,"Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase",2
334,"Water utility Severn Trent ups savings forecast, FY profit falls",2
335,"Reed Elsevier shares cool after profit dip",1
336,"BAE Systems lines up oil exec Woodburn as next CEO -source",2
337,"Diageo share price: Group issues half-year update",2
338,"CompaniesDiageo moves CFO to lead North American business",2
339,"RBS, Lloyds Most Exposed to Commercial Property, JPMorgan Says",2
340,"Legal & General share price: Finance chief to step down",2
341,"CompaniesLSE adds ex-SEC head Schapiro to board",2
342,"European shares fall on Chinese import data, SABMiller soars",3
343,"News FeedSchroders books solid earnings growth, several board changes",3
344,"Valeant, AstraZeneca strike psoriasis drug deal",3
345,"Barclays considers acquisition to help split off retail arm",3
346,"CFTC fines Barclays $560000 for inaccurate swaps position reports",0
347,"Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter",2
348,"Tesco turnaround gathers pace under new CEO",3
349,"Tesco, Asda sales fall as march of the discounters continues: Kantar",1
350,"METALS-Zinc soars 10 pct, fuelling metals surge after Glencore cuts output",3
351,"BP cuts capex for third time this year to deal with weak oil",1
352,"Aspen to Buy Anaesthetics From AstraZeneca for $520 Million",3
353,"Sainsbury chief warns of squeeze on high street retailers",1
354,"US sanctions put Gazprom-Shell alliance plans in jeopardy",1
355,"UPDATE 6-Royal Dutch Shell pulls plug on Arctic exploration",1
356,"AB InBev to Sell SABMiller Stake in China's Snow Beer",2
357,"Persimmon share price climbs on 23% rise in full-year revenue",4
358,"Royal Mail hands chief executive Moya Greene a 13% rise in her pay package",2
359,"Travis Perkins to create 4000 jobs",3
360,"LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk",1
361,"Britain cuts Lloyds Banking Group stake to below 17 pct",1
362,"LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise",3
363,"BP Reports $583 Million Loss in First Quarter",0
364,"Britain's FTSE led lower by ITV, William Hill",0
365,"Barclays set to name former JPMorgan banker Staley as new CEO",2
366,"Friday Papers: Sir Philip Green sells BHS for Â£1",2
367,"Warren Buffett's Berkshire adds to favorites IBM, Wells Fargo",3
368,"Spain's CaixaBank Expects To Close Deal For Banco BPI",3
369,"How Kraft-Heinz Merger Came Together in Speedy 10 Weeks",3
370,"Persimmon revenues lifted 12% by post-election confidence",3
371,"REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm",2
372,"US urges final approval of $20 billion BP oil spill pact",1
373,"Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group",3
374,"UPDATE 1-GSK-linked investigator freed early from China jail - source",3
375,"FTSE hits three-week low as financials, Tesco fall",0
376,"LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk",1
377,"Weir Group offloads two renewables units",2
378,"Aggreko says first half profits will be lower as the oil price rout claims its latest victim",1
379,"Industry NewsRevenue, earnings take a tumble at Weir Group",0
380,"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",3
381,"Sharm el-Sheikh travel disruption: British Airways, EasyJet, Thomson and ...",1
382,"London stock exchange shareholders vote on merger deal under Brexit cloud",1
383,"UPDATE: AstraZeneca's Selumetinib Gets Orphan Drug Label, Good AZD9291 ...",3
384,"Intercontinental Exchange Opts Not to Bid for London Stock Exchange",2
385,"Dave Lewis paid Â£4.1m for first 6 months at Tesco",2
386,"Weir Group says first-half profits will be 'slightly ahead' of expectations",3
387,"Glencore Sells $2.5 Billion Stake in Agriculture Unit",3
388,"AstraZeneca : FDA Panel Reviews Savor Study Results For Onglyza ...",2
389,"Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent",3
390,"Britain's FTSE hits three-week low as financials, Tesco fall",0
391,"Trading ExpertBROKER RECOMMENDATIONSUBS ups RBS to 'buy' as it re-initiates coverage on UK banks",4
392,"3G Capital, Warren Buffett's Favorite Partner in Deals Worth Billions",3
393,"Shell's $70 Billion BG Deal Meets Shareholder Skepticism",1
394,"GKN to buy Fokker Technologies for 706 mln euros",3
395,"Questor share tip: Mondi shares jump 10pc on strong start",4
396,"Berkshire discloses unit's ties to Iran, opens probe",1
397,"Rio Tinto swings to loss, drops dividend policy",1
398,"Rio Tinto Reaffirms Goal for Iron Ore Output",3
399,"Shares in easyJet fall to three-year low after Brexit profit warning",0
400,"Shire share price: Group releases full-year results",3
401,"AstraZeneca share price: Company to carve out antibiotic R&D unit into separate ...",3
402,"Ex-Barclays Trader Johnson Pleaded Guilty to Libor Fixing",1
403,"SABMiller buys Meantime to quench thirst for craft beer",3
404,"Standard Chartered to slash costs as profits plunge 25%",0
405,"Buffett's Berkshire delivers 9.8% profit growth",4
406,"Rio Tinto CEO Sam Walsh rejects fears over China growth, demand",2
407,"CompaniesShell sells stake in Showa Shell Sekiyu for $1.4bn",2
408,"Reed Elsevier to rename itself RELX Group",2
409,"Sotheby's chairman takes his final sale",2
410,"Insight hires Aviva's David Hillier for multi-asset team",2
411,"Shell offers 50 percent premium to buy BG for $70 billion",3
412,"Novartis buys remaining rights to GSK treatment in deal up to $1 billion",3
413,"AB InBev to sell Peroni and Grolsch",3
414,"Unilever posts weaker-than-expected fourth quarter",1
415,"UPDATE 1-Dairy Crest loses a third of Morrisons milk contract",2
416,"Rolls-Royce Wins $9.2 Billion Order From Emirates Airline",4
417,"Entertainment One dispels ITV takeover rumours",2
418,"NYSE owner ICE considers offer for LSE",3
419,"Novartis buys remaining rights to GSK treatment in deal up to $1 billion",3
420,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",3
421,"HSBC Preparing Job Cuts That May Target 20000 Workers, Sky Says",1
422,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",1
423,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",2
424,"RBS bosses ordered to go out and meet small firms",2
425,"AB InBev offers to sell some SABMiller brands",3
426,"RPT-UK supermarkets braced for battle as Tesco comes out fighting",2
427,"UPDATE 1-Glencore flags sale of some Australia, Chile assets",2
428,"Barclays says not been offered deferred prosecution deal by SFO",2
429,"Aviva promises higher dividends to boost flagging share price",3
430,"Brewer AB InBev seeks $275 bln tie-up with SABMiller",3
431,"Intercontinental Exchange Opts Not to Bid for London Stock Exchange",1
432,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",1
433,"HSBC Posts Surprise Fourth-Quarter Pretax Loss of $858 Million",0
434,"Earnings surge as fund manager Schroders reports a record year",4
435,"Eurocrat left best-placed to unravel London Stock Exchange deal",1
436,"Lawmakers worry AB InBev beer deal will hurt craft brewers",2
437,"StanLife leads FTSE after strong earnings",4
438,"Lloyds Banking Group eyes return to dealmaking with MBNA bid",3
439,"Anheuser-Busch InBev Increases Offer for Rival SABMiller",3
440,"UK government sells more Lloyds shares, cuts stake to below 12 percent",1
441,"Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...",3
442,"Tesco says UK store closures put 2000 jobs at risk",1
443,"Tesco Versus Sainsbury: Weight-Watcher vs. Bodybuilder",3
